TaxiPassangerPredictionExperiment637837599358625914.txt
******Sequence Starting*****
cycle : 106 	 Accuracy :75 	 
cycle : 107 	 Accuracy :62.5 	 
cycle : 108 	 Accuracy :70.83333333333334 	 
cycle : 109 	 Accuracy :66.66666666666666 	 
cycle : 110 	 Accuracy :70.83333333333334 	 
Cycle: 111 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 112 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
cycle : 113 	 Accuracy :62.5 	 
cycle : 114 	 Accuracy :66.66666666666666 	 
cycle : 115 	 Accuracy :62.5 	 
cycle : 116 	 Accuracy :70.83333333333334 	 
cycle : 117 	 Accuracy :66.66666666666666 	 
cycle : 118 	 Accuracy :75 	 
cycle : 119 	 Accuracy :70.83333333333334 	 
cycle : 120 	 Accuracy :66.66666666666666 	 
Cycle: 121 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 122 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
cycle : 123 	 Accuracy :62.5 	 
cycle : 124 	 Accuracy :66.66666666666666 	 
Cycle: 125 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 126 	 Accuracy :70.83333333333334 	 
Cycle: 127 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 128 	 Accuracy :66.66666666666666 	 
Cycle: 129 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 130 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
Cycle: 131 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 3
Cycle: 132 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 4
Cycle: 133 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 5
Cycle: 134 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 6
Cycle: 135 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 7
cycle : 136 	 Accuracy :62.5 	 
cycle : 137 	 Accuracy :66.66666666666666 	 
Cycle: 138 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 139 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
Cycle: 140 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 3
Cycle: 141 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 4
Cycle: 142 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 5
Cycle: 143 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 6
Cycle: 144 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 7
cycle : 145 	 Accuracy :62.5 	 
Cycle: 146 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 147 	 Accuracy :66.66666666666666 	 
cycle : 148 	 Accuracy :75 	 
cycle : 149 	 Accuracy :66.66666666666666 	 
Cycle: 150 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 151 	 Accuracy :70.83333333333334 	 
Cycle: 152 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 153 	 Accuracy :66.66666666666666 	 
cycle : 154 	 Accuracy :62.5 	 
cycle : 155 	 Accuracy :70.83333333333334 	 
Cycle: 156 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 157 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
cycle : 158 	 Accuracy :62.5 	 
cycle : 159 	 Accuracy :66.66666666666666 	 
cycle : 160 	 Accuracy :62.5 	 
cycle : 161 	 Accuracy :66.66666666666666 	 
cycle : 162 	 Accuracy :70.83333333333334 	 
cycle : 163 	 Accuracy :66.66666666666666 	 
cycle : 164 	 Accuracy :62.5 	 
Cycle: 165 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 166 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
Cycle: 167 	 Saturated Accuracy : 62.5 	 Number of times repeated 3
